aaa分类,关键词,描述内容
飞行器相关物品展示,固定翼无人机,固定翼无人机，机翼外端后掠角可随速度自动或手动调整的机翼固定的一类无人机。因其优良的功能、模块化集成，现已广泛应用在测绘、地质、石油、农林等职业，具有广阔的市场应用远景。一般的固定翼无人机系统由五个主要部分组成：机体结构、航电系统、动力系统、起降系统和地面控制站。机体结构由可拆卸的模块化机体组成，既方便携带，又可以在短时间内完成组装、起飞。航电系统由飞控电脑、感应器、酬载、无线通讯、空电电池组成，完成飞机控制系统的需要。动力系统由动力电池、螺旋桨、无刷马达组成，提供飞机飞行所需的动力。起降系统由弹射绳、弹射架、降落伞组成，帮助飞机完成弹射起飞和伞降着陆。地面控制站包括地面站电脑、手柄、电台等通讯设备，用以辅助完成路线规划任务和飞行过程的监控。
飞行器相关物品展示,旋翼无人机,微型旋翼无人机是微机电系统集成的产物，以其能够垂直起降、自由悬停、控制灵活和适应各种环境能力强等优点成为国内外很多实验室研究的重点。微型旋翼无人机的系统研究主要是针对地面控制系统和机载测控通信系统，地面控制系统是能够对无人机的飞行姿态进行监测和指令控制；机载测控通信系统主要是在无人机飞行状态下对惯性传感器、超声波测距仪等进行数据采集，并把这些数据传送给地面控制系统。
飞行器相关物品展示,差动均姿,差动控制是一种通过控制两个或多个相同或相似的系统之间的差异来实现精确控制的方法。这种方法用于调整无人机的姿态。通过比较无人机的当前姿态与目标姿态之间的差异，控制器可以计算出必要的纠正动作，而这些动作被应用于无人机的控制系统，以实现姿态的精确调整。
飞行器相关物品展示,模块化平面相控阵雷达天线机构,哈尔滨工业大学刘荣强教授团队在宇航空间机构及控制领域有显著研究成果。他们自2000年以来一直从事相关研究，近年来主要关注大型空间可展开机构的创新设计、动力学分析与实验。研究成果包括大型空间可重复展收伸展臂、可展开抛物面天线机构、模块化可展开平面天线机构等原理样机的研制，以及完成多个科研项目和发表多篇论文。
飞行器相关物品展示,大飞机制造,这里的大飞机指C919（中文：中国商飞C919，英文：COMAC C919），是中国首款按照国际通行适航标准自行研制、具有自主知识产权的喷气式中程干线客机，设计定位于150座级单通道窄体机市场。
航天相关物品展示,核心舱,天和核心舱是中国空间站发射入轨的首个舱段。天和核心舱主要用于中国空间站统一控制和管理，具备长期自主飞行能力，可支持航天员长期驻留，开展航天医学、空间科学实验和技术试验，起飞质量22.5吨，是中国自主研制的规模最大、系统最复杂的航天器。后续，天和核心舱先后迎接天舟货运飞船和神舟飞船的访问，在全面完成空间站关键技术验证后，与问天实验舱、梦天实验舱实施交会对接，完成中国空间站三舱组合体在轨组装建造。2021年4月29日11时23分，天和核心舱由长征五号B遥二运载火箭搭载发射，在中国文昌航天发射场点火升空，约494秒后，天和核心舱与火箭分离，进入预定轨道；12时36分，天和核心舱的太阳能帆板两翼展开且工作正常，发射任务取得成功。
航天相关物品展示,问天实验舱,"问天实验舱是中国空间站发射入轨完成建造国家太空实验室的重要大型舱段之一。问天实验舱是中国空间站的第二个舱段，也是首个科学实验舱。问天实验舱由工作舱、气闸舱和资源舱组成，起飞重量约23吨，主要用于支持航天员驻留、出舱活动和开展空间科学实验，同时可作为天和核心舱的备份，对空间站进行管理。该次任务是中国空间站首次在有人状态下迎接的航天器到访。同时，问天实验舱舱段也是中国迄今为止发射的最重载荷。
北京时间2022年7月24日14时22分22秒，搭载问天实验舱的长征五号B遥三运载火箭，在中国文昌航天发射场点火升空，发射取得成功。北京时间2022年7月25日3时13分，问天实验舱成功对接于天和核心舱前向端口。2022年7月25日10时03分，神舟十四号航天员乘组成功开启舱门顺利进入问天实验舱。2023年7月20日，神舟十六号航天员乘组圆满完成出舱活动全部既定任务，航天员景海鹏、朱杨柱已安全返回空间站问天实验舱，出舱活动取得圆满成功。航天员朱杨柱成为中国首个出舱活动的航天飞行工程师。"
航天相关物品展示,舱外状态检查,舱外状态检查通常指对空间站外部结构和系统的检查和评估，以确保其正常运作和完好无损。舱外状态检查通常包括结构完整性检查，表面状况检测，传感器通信设备以及舱外实验设备检查等。舱外状态检查通常通过舱外活动，或利用舱外摄像头以及机械臂完成。
航天相关物品展示,舱外货物转移,空间站货物出舱安装任务由载荷转移机构、货物气闸舱、内外舱门、机械臂协同配合，通过在轨航天员或地面操作，将需要出舱的货物送出舱外，根据任务需要也可将舱外的货物送进舱内。突破掌握此项关键技术，可大幅提高舱内外货物交换效率，减少航天员出舱次数和工作量。按计划，后续还将持续开展货物出舱安装工作。
航天相关物品展示,舱外维护维修,舱外维修与辅助工具由中国航天科技集团五院研制，可协助航天员有效克服在轨着航天服状态下，手套充压后操作不便、航天员需单手操作难度大、在轨防漂要求高等难题，具备辅助航天员在轨着航天服状态下开展舱外行走、位姿转换、设备更换、产品安全防护等多项功能，是航天员执行舱外活动必不可少的工具。
航天相关物品展示,载荷照料,载荷照料通常指对空间飞行器上的载荷的管理和维护的工作，载荷可以是科学仪器、卫星、实验设备或任何其他为了特定目的被送入太空的设备，载荷照料设计载荷的安装部署，操作监控，维护和故障排除，数据管理，环境控制以及返回和回收。
航天相关物品展示,光学设施维护,巡天空间望远镜可以看作一座在轨飞行的移动式空间天文台，在日常观测的时候远离空间站共轨飞行，与空间站在一个轨道面内，当需要补给或者维修升级时，巡天空间望远镜会主动与空间站进行对接，然后进行补给，也可以通过航天员的操作，对后端的仪器以及前面主光学系统的组件进行更换升级，或者运送到实验舱内进行维修。
航天相关物品展示,天宫二号,天宫二号，为中国载人航天工程发射第二个目标飞行器，是中国首个具备补加功能的载人航天科学实验空间实验室。天宫二号于2016年9月15日在酒泉卫星发射中心发射升空；于2019年7月16日终止数据服务；于2019年7月19日受控离轨并再入大气层，落入南太平洋预定安全海域。天宫二号是空间实验室阶段任务的主要飞行器之一，先后与神舟十一号、天舟一号进行对接，承担着验证空间站相关技术的重要使命，是中国第一个真正意义上的太空实验室。
航天相关物品展示,酒泉卫星发射中心,"酒泉卫星发射中心，又称“东风航天城”，是原总装备部20基地，1958年10月20日成立，是中国创建最早、规模最大的综合型导弹、卫星发射中心，测试及发射长征系列运载火箭、中低轨道的各种试验卫星、应用卫星、载人飞船和火箭导弹的主要基地，基地并负有残骸回收、航天员应急救生等任务。是中国科学卫星、技术试验卫星和运载火箭的发射试验基地之一，隶属于原中国人民解放军总装备部，现隶属于战略支援部队。酒泉卫星发射中心位于甘肃省酒泉市东北地区，占地面积约2800平方千米，地势平坦，人烟稀少，干燥少雨，每年约有300天可进行发射试验，是发射航天器的理想场所。
2016年1月8日，酒泉卫星发射中心被国家旅游局授予首批“全国研学旅游示范基地”称号。2017年3月28日，被国家旅游局、中国科学院推选为“首批中国十大科技旅游基地”。2018年1月27日，酒泉卫星发射中心入选“中国工业遗产保护名录”。截至2018年10月，该中心先后执行110次航天发射任务，成功将145颗卫星、11艘飞船、11名航天员送入太空。北京时间2023年10月26日11时14分，搭载神舟十七号载人飞船的长征二号F遥十七运载火箭在酒泉卫星发射中心点火发射，约10分钟后，神舟十七号载人飞船与火箭成功分离，进入预定轨道，航天员乘组状态良好，发射取得圆满成功。"
航天相关物品展示,人机协同在轨维修试验,2016年11月9日，天宫二号航天员与空间机械手进行了人机协同在轨维修科学试验，这是国际首次人机协同在轨维修技术试验。该试验由哈工大与中国航天科技集团公司第五研究院、北京理工大学共同完成的。这项试验主要面向航天设备在轨组装及拆卸任务，探索人机协同完成在轨维修典型作业，为空间机器人在轨服务积累经验。
航天相关物品展示,在轨插拔航天电连接器,在轨插拔航天电连接器指的是在太空环境中，即在轨道上，对航天器电连接器进行插入（插拔）和分离（拔插）的操作。这种操作通常是在航天器进行维修、升级或模块更换时进行的
航天相关物品展示,遥操作灵巧手,天宫二号空间机械手由哈工大研制，包含多感知柔性机械臂、五指仿人灵巧手、控制器及其软件、手眼相机、人机交互设备及其软件等。研制团队在三年研制周期内，完成了产品研制、地面操作试验、空间环境适应性试验等工作。2016年9月15日，空间 机械手随天宫二号发射入轨。2016年10月19日，天宫二号与神舟十一号对接后，航天员与机械手协同完成了拿电动工具拧螺钉、拆除隔热材料、在轨遥操作等科学试验。 从“十五”开始，哈工大机器人技术与系统国家重点实验室刘宏教授、刘伊威副教授等面向机械手在空间维修维护中的潜在应用，开展了灵巧手、机械臂、柔顺控制、 人机协同 及遥操作等前沿方向的创新性研究，实现了 人机协同 操作中的安全性、灵巧性、交互性等关键技术的突破。其中，运动规划与仿真、碰撞检测、 机械手 柔顺控制等保证了操作过程的人机安全，仿人灵巧手能够实现对多种操作目标的灵巧抓握及操作，航天员基于交互设备实现了对机械手的遥操作控制并能感知操作过程的接触力。团队多年的基础理论研究、关键技术突破和系统集成攻关，为本次科学试验的成功奠定了坚实基础。
航天相关物品展示,玉兔号,"玉兔号是中国首辆月球车和着陆器共同组成的嫦娥三号探测器。
玉兔号月球车设计质量137千克，能源为太阳能，能够耐受月球表面真空、强辐射、零下180摄氏度到零上150摄氏度极限温度等极端环境。月球车具备20度爬坡、20厘米越障能力，并配备有全景相机、红外成像光谱仪、测月雷达、粒子激发X射线谱仪等科学探测仪器。"
航天相关物品展示,月球车,"月球车是一种能够在月球表面行驶并完成月球探测、考察、收集和分析样品等复杂任务的专用车辆。在实验室里，这个重要角色的学名是“月面巡视探测器”，为了使月球车在月面上能够顺利行驶，美国、前苏联曾发射了一系列的卫星探测，并对月面环境进行了反复的科学实验，为在探测器上携带月球车的成功打下了可靠的基础。科学家对经由月球车月面的实地考察所带回的宝贵资料进行了分析研究，大大深化了人类对月球的认识。
 "
航天相关物品展示,火星车,"火星探测车是指在火星登陆用于火星探测的可移动探测器，是人类发射的在火星表面行驶并进行考察的一种车辆。火星车之前由美国和前苏联多次发射。火星车传来了大量的火星资料，为人类了解火星做出了巨大的贡献。
 "
航天相关物品展示,大型空间伸展臂,大型空间伸展臂是一种特殊的机械结构，通常用于在空间中展开和操作大型结构。它是一种可折叠的机械臂，可以在发射时折叠起来，以适应火箭或航天器的尺寸限制，然后在太空中展开，以实现更大的操作空间。大型空间伸展臂被广泛应用于各种空间任务中，例如卫星部署、太空探测器操作、空间站组装和维护等。
航天相关物品展示,远程空间通信,远程空间通信是指利用无线电波在地球站与航天器之间进行远距离通信。这种通信方式可以实现在地球站与航天器之间的信息传输，包括语音、数据和图像等信息。
航天相关物品展示,高分辨对地观测,高分专项工程是中国国家中长期科学和技术发展规划纲要(2006－2020年) 的16个重大科技专项之一。高分辨率对地观测系统重大专项（简称高分专项）是《国家中长期科学与技术发展规划纲要（2006-2020年）》确定的十六个重大科技专项之一，于2010年批准启动实施。“十二五”阶段，高分专项建设成绩斐然。高分一号、二号、四号卫星发射升空，实现了亚米级高空间分辨率与高时间分辨率的有机结合。高分专项在网络上被亲切的称为“中国人自己的全球观测系统”。
航天相关物品展示,嫦娥五号钻表复合高效采样技术,嫦娥五号采用的钻表复合高效采样技术是结合了钻取和表取两种方式，通过空心钻杆的取芯机构钻到月球表面两米深以下处，得到深层样品的层理信息，同时采用机械臂末端固定铲挖型采样器进行表层和次表层月壤采集，实现多点、多次采样。
航天相关物品展示,机械臂表取复合样品封装与传送,嫦娥五号的机械臂表取复合样品封装与传送是一个复杂而精密的过程。通过使用钻表复合高效采样技术，机械臂能够精确地钻取和表取月球表面的样品，并使用特殊的封装设备将不同深度的样品分别封装在返回器的不同层次中。
航天相关物品展示,月面采样技术体系,月面采样技术体系是嫦娥五号工程的核心技术，采用钻取和表取两种方式共同完成采样任务，通过一次任务可同时获得表层和次表层样品，在国际上尚属首例。上升器会带着采集样品与轨返组合体进行交会对接，并将样品转移到返回器中，最终由返回器携带样品返回地球。
航天相关物品展示,小行星探测附着采样系统,小行星探测附着采样系统是一种设备，用于在小行星表面附着并采集其样品。它由附着装置和采样装置组成，附着装置能够稳定地附着在小行星表面，采样装置能够从小行星表面挖掘或刮取材料并存储样品。
航天相关物品展示,空间灵巧手技术,2016年9月我国首个空间灵巧手随天宫二号在酒泉卫星发射中心成功发射，10月至11月开展人机协同在轨维修试验9次，累计80人时。成功完成国际首次在轨手持电动工具旋拧螺钉、在轨插拔航天电连接器，我国首次航天员在轨遥操作灵巧手等精细操作任务，获国家技术发明二等奖2项，2007欧盟机器人技术和转化一等奖1项，出版专著1部。
航天相关物品展示,轮式星球车移动技术,为我国“玉兔号”月球车提供了“6驱动/4转向/主副摇臂/差动均姿”悬架构型及设计参数与筛网轮构型。提供了“玉兔号”月球车、火星车转移机构提出轮步式火星车移动系统构型，移动性能优越，方案已被我国火星车采用。
航天相关物品展示,空间折展机构与变形翼技术,联合研制出我国首个60米长大型空间伸展臂、57米大型模块化平面相控阵雷达天线机构，研究成果用于我国百米雷达天线等，为我国远程空间通信和高分辨对地观测提供了核心装备为我国高超声速飞行器提供了核心装备。
航天相关物品展示,操控作业与采样技术,解决嫦娥五号钻表复合高效采样技术难题，主持构建了“嫦娥五号”钻取/机械臂表取复合样品封装与传送的月面采样技术体系，主持设计并联合研制了“嫦娥五号”月面钻取采样系统正样产品，为我国首次小行星探测附着采样系统提供了关键技术。
机器人相关物品展示,单兵外骨骼,中国单兵外骨骼系统是由中国兵器集团202研究所研制的外骨骼系统，于2015年7月在中国军民融合技术装备博览会上首次亮相。中国单兵外骨骼系统可加装辅助装置，额定负荷平均平地步速为4.5公里每小时，平地行走续航里程为20公里；该新型外骨骼若装备部队，可提高高原部队的单兵负重量，提升单兵侦查能力，可执行高原单兵巡逻、山地单兵巡逻、跨越障碍等任务。
机器人相关物品展示,穿戴式外肢体机器人,可穿戴外骨骼机器人可穿戴，顾名思义就是这些外骨骼机器人，是可以穿到、套到我们身上并且与身体进行协同，其设计部件和关节模仿人类的运动模式，旨在增强人的力量，帮助人类移动。按照动力技术不同，可穿戴的外骨骼机器人可以分为“主动”和“被动”两类
机器人相关物品展示,灵巧手术器械设计,手术器械是指在临床手术中所使用的医疗器械，除常规手术器械外，还有一些专科用的器械：骨科、泌尿科、妇产科、烧伤科、整形外科、脑外科、心胸外科、普外科等等。
